Date,Prefucture,Newly confirmed cases HERSYS,Newly confirmed cases
2022-09-22,Ehime,484,0
2022-09-22,Kochi,376,0
2022-09-22,Fukuoka,2654,0
2022-09-22,Saga,97,0
2022-09-22,Nagasaki,105,0
2022-09-22,Kumamoto,1013,0
2022-09-22,Oita,378,0
2022-09-22,Miyazaki,699,0
2022-09-22,Kagoshima,168,0
2022-09-22,Okinawa,666,0
2022-09-23,ALL,49682,0
2022-09-23,Hokkaido,2471,0
2022-09-23,Aomori,368,0
2022-09-23,Iwate,377,0
2022-09-23,Miyagi,155,0
2022-09-23,Akita,491,0
2022-09-23,Yamagata,91,0
2022-09-23,Fukushima,745,0
2022-09-23,Ibaraki,179,0
2022-09-23,Tochigi,749,0
2022-09-23,Gunma,807,0
2022-09-23,Saitama,3319,0
2022-09-23,Chiba,2833,0
2022-09-23,Tokyo,6557,0
2022-09-23,Kanagawa,3070,0
2022-09-23,Niigata,882,0
2022-09-23,Toyama,380,0
2022-09-23,Ishikawa,596,0
2022-09-23,Fukui,598,0
2022-09-23,Yamanashi,276,0
2022-09-23,Nagano,626,0
2022-09-23,Gifu,780,0
2022-09-23,Shizuoka,1133,0
2022-09-23,Aichi,3513,0
2022-09-23,Mie,110,0
2022-09-23,Shiga,800,0
2022-09-23,Kyoto,983,0
2022-09-23,Osaka,4703,0
2022-09-23,Hyogo,1533,0
2022-09-23,Nara,583,0
2022-09-23,Wakayama,436,0
2022-09-23,Tottori,39,0
2022-09-23,Shimane,257,0
2022-09-23,Okayama,863,0
2022-09-23,Hiroshima,1561,0
2022-09-23,Yamaguchi,577,0
2022-09-23,Tokushima,244,0
2022-09-23,Kagawa,435,0
2022-09-23,Ehime,446,0
2022-09-23,Kochi,310,0
2022-09-23,Fukuoka,1965,0
2022-09-23,Saga,85,0
2022-09-23,Nagasaki,104,0
2022-09-23,Kumamoto,922,0
2022-09-23,Oita,357,0
2022-09-23,Miyazaki,582,0
2022-09-23,Kagoshima,148,0
2022-09-23,Okinawa,643,0
2022-09-24,ALL,19673,0
2022-09-24,Hokkaido,1350,0
2022-09-24,Aomori,164,0
2022-09-24,Iwate,212,0
2022-09-24,Miyagi,49,0
2022-09-24,Akita,137,0
2022-09-24,Yamagata,43,0
2022-09-24,Fukushima,423,0
2022-09-24,Ibaraki,51,0
2022-09-24,Tochigi,365,0
2022-09-24,Gunma,378,0
2022-09-24,Saitama,1236,0
2022-09-24,Chiba,1103,0
2022-09-24,Tokyo,2634,0
2022-09-24,Kanagawa,1076,0
2022-09-24,Niigata,321,0
2022-09-24,Toyama,173,0
2022-09-24,Ishikawa,245,0
2022-09-24,Fukui,315,0
2022-09-24,Yamanashi,63,0
2022-09-24,Nagano,349,0
2022-09-24,Gifu,274,0
2022-09-24,Shizuoka,319,0
2022-09-24,Aichi,1074,0
2022-09-24,Mie,36,0
2022-09-24,Shiga,250,0
2022-09-24,Kyoto,352,0
2022-09-24,Osaka,1922,0
2022-09-24,Hyogo,343,0
2022-09-24,Nara,177,0
2022-09-24,Wakayama,212,0
2022-09-24,Tottori,20,0
2022-09-24,Shimane,77,0
2022-09-24,Okayama,512,0
2022-09-24,Hiroshima,631,0
2022-09-24,Yamaguchi,272,0
2022-09-24,Tokushima,56,0
2022-09-24,Kagawa,184,0
2022-09-24,Ehime,223,0
2022-09-24,Kochi,113,0
2022-09-24,Fukuoka,674,0
2022-09-24,Saga,37,0
2022-09-24,Nagasaki,28,0
2022-09-24,Kumamoto,317,0
2022-09-24,Oita,201,0
2022-09-24,Miyazaki,279,0
2022-09-24,Kagoshima,53,0
2022-09-24,Okinawa,350,0
2022-09-25,ALL,46308,0
2022-09-25,Hokkaido,2044,0
2022-09-25,Aomori,298,0
2022-09-25,Iwate,393,0
2022-09-25,Miyagi,151,0
2022-09-25,Akita,518,0
2022-09-25,Yamagata,74,0
2022-09-25,Fukushima,661,0
2022-09-25,Ibaraki,182,0
2022-09-25,Tochigi,840,0
2022-09-25,Gunma,680,0
2022-09-25,Saitama,3218,0
2022-09-25,Chiba,2608,0
2022-09-25,Tokyo,5954,0
2022-09-25,Kanagawa,2580,0
2022-09-25,Niigata,692,0
2022-09-25,Toyama,372,0
2022-09-25,Ishikawa,446,0
2022-09-25,Fukui,375,0
2022-09-25,Yamanashi,333,0
2022-09-25,Nagano,697,0
2022-09-25,Gifu,902,0
2022-09-25,Shizuoka,993,0
2022-09-25,Aichi,3677,0
2022-09-25,Mie,138,0
2022-09-25,Shiga,715,0
2022-09-25,Kyoto,879,0
2022-09-25,Osaka,4664,0
2022-09-25,Hyogo,1513,0
2022-09-25,Nara,678,0
2022-09-25,Wakayama,371,0
2022-09-25,Tottori,37,0
2022-09-25,Shimane,265,0
2022-09-25,Okayama,793,0
2022-09-25,Hiroshima,1489,0
2022-09-25,Yamaguchi,529,0
2022-09-25,Tokushima,249,0
2022-09-25,Kagawa,474,0
2022-09-25,Ehime,444,0
2022-09-25,Kochi,348,0
2022-09-25,Fukuoka,1808,0
2022-09-25,Saga,64,0
2022-09-25,Nagasaki,90,0
2022-09-25,Kumamoto,718,0
2022-09-25,Oita,282,0
2022-09-25,Miyazaki,420,0
2022-09-25,Kagoshima,120,0
2022-09-25,Okinawa,532,0
2022-09-26,ALL,23530,0
2022-09-26,Hokkaido,1523,0
2022-09-26,Aomori,226,0
2022-09-26,Iwate,240,0
2022-09-26,Miyagi,40,0
2022-09-26,Akita,226,0
2022-09-26,Yamagata,32,0
2022-09-26,Fukushima,417,0
2022-09-26,Ibaraki,78,0
2022-09-26,Tochigi,414,0
2022-09-26,Gunma,463,0
2022-09-26,Saitama,1486,0
2022-09-26,Chiba,1621,0
2022-09-26,Tokyo,3596,0
2022-09-26,Kanagawa,1199,0
2022-09-26,Niigata,429,0
2022-09-26,Toyama,251,0
2022-09-26,Ishikawa,244,0
2022-09-26,Fukui,271,0
2022-09-26,Yamanashi,75,0
2022-09-26,Nagano,368,0
2022-09-26,Gifu,380,0
2022-09-26,Shizuoka,374,0
2022-09-26,Aichi,1386,0
2022-09-26,Mie,42,0
2022-09-26,Shiga,277,0
2022-09-26,Kyoto,401,0
2022-09-26,Osaka,2187,0
2022-09-26,Hyogo,507,0
2022-09-26,Nara,230,0
2022-09-26,Wakayama,219,0
2022-09-26,Tottori,16,0
2022-09-26,Shimane,124,0
2022-09-26,Okayama,462,0
2022-09-26,Hiroshima,791,0
2022-09-26,Yamaguchi,284,0
2022-09-26,Tokushima,78,0
2022-09-26,Kagawa,184,0
2022-09-26,Ehime,241,0
2022-09-26,Kochi,114,0
2022-09-26,Fukuoka,787,0
2022-09-26,Saga,34,0
2022-09-26,Nagasaki,20,0
2022-09-26,Kumamoto,370,0
2022-09-26,Oita,205,0
2022-09-26,Miyazaki,284,0
2022-09-26,Kagoshima,65,0
2022-09-26,Okinawa,269,0
