日付	国内合計	北海道	青森県	岩手県	宮城県	秋田県	山形県	福島県	茨城県	栃木県	群馬県	埼玉県	千葉県	東京都	神奈川県	新潟県	富山県	石川県	福井県	山梨県	長野県	岐阜県	静岡県	愛知県	三重県	滋賀県	京都府	大阪府	兵庫県	奈良県	和歌山県	鳥取県	島根県	岡山県	広島県	山口県	徳島県	香川県	愛媛県	高知県	福岡県	佐賀県	長崎県	熊本県	大分県	宮崎県	鹿児島県	沖縄県
2020/12/22	3.36617340509008	4.55238095238095	1.12359550561798	1.62999185004075	1.3009540329575	0	1.66975881261596	1.84182015167931	2.76223776223776	3.98138572905894	2.16271884654995	3.53741496598639	1.88528518932737	3.2756267509518	4.01174168297456	0	0.670498084291188	0	1.5625	0.986436498150432	2.09858467545144	1.9627579265224	2.14050493962678	3.28389830508475	1.74059517125211	0.495049504950495	2.63259775454897	12.6121012600749	5.63483351628247	4.96240601503759	5.40540540540541	1.2589928057554	1.03857566765579	1.11111111111111	2.9243937232525	2.4300441826215	0	0	1.49365197908887	1.28939828080229	1.70454545454545	0.49079754601227	1.05501130369254	2.00228832951945	2.90748898678414	1.11835973904939	0.436953807740325	3.02821748107364
2020/12/23	3.39708481615636	4.47619047619048	1.12359550561798	1.62999185004075	1.43104943625325	0	2.04081632653061	1.9501625135428	2.65734265734266	4.08479834539814	2.52317198764161	3.56462585034014	1.94919316184694	3.2756267509518	4.10958904109589	0	0.670498084291188	0.175746924428823	1.69270833333333	1.10974106041924	2.00097608589556	2.01308505284348	1.94840834248079	3.33686440677966	1.62829870859068	0.495049504950495	3.09717382888115	12.6688613917584	5.59824368825466	5.11278195488722	5.18918918918919	1.07913669064748	1.03857566765579	1.11111111111111	3.03138373751783	2.28276877761414	0	0	1.64301717699776	1.57593123209169	1.68495297805643	0.613496932515337	1.05501130369254	1.88787185354691	2.90748898678414	1.02516309412861	0.436953807740325	2.95939435650379
2020/12/24	3.42482582608765	4.34285714285714	1.12359550561798	1.62999185004075	1.51777970511709	0	2.50463821892393	1.9501625135428	2.58741258741259	4.18821096173733	2.83213182286303	3.59183673469388	1.98114714810673	3.32591049493571	4.20743639921722	0	0.670498084291188	0.527240773286468	1.69270833333333	1.23304562268804	1.75695461200586	2.06341217916457	1.70142700329308	3.37658898305085	1.51600224592925	0.495049504950495	3.5230352303523	12.7142694971052	5.54335894621295	5.18796992481203	4.86486486486486	0.899280575539568	1.03857566765579	1.37566137566138	3.13837375178317	2.06185567010309	0	0	1.79238237490665	2.00573065902579	1.72413793103448	0.736196319018405	1.05501130369254	1.77345537757437	2.90748898678414	0.838769804287046	0.436953807740325	2.82174810736407
2020/12/25	3.4692114419777	4.15238095238095	1.12359550561798	1.62999185004075	1.561144839549	0	2.87569573283859	1.9501625135428	2.51748251748252	4.23991726990693	2.98661174047374	3.68707482993197	2.0450551206263	3.43366137490123	4.3161556860187	0	0.670498084291188	0.878734622144112	1.69270833333333	1.47965474722565	1.51293313811615	2.21439355812783	1.53677277716795	3.41631355932203	1.40370578326783	0.495049504950495	3.87146728610143	12.7823816551254	5.54335894621295	5.26315789473684	4.75675675675676	0.719424460431655	1.03857566765579	1.64021164021164	3.31669044222539	1.84094256259205	0	0	1.94174757281553	2.57879656160458	1.74373040752351	0.858895705521472	1.05501130369254	1.65903890160183	2.90748898678414	0.65237651444548	0.436953807740325	2.75292498279422
2020/12/26	3.52152306070526	3.96190476190476	1.04333868378812	1.71149144254279	1.60450997398092	0	3.24675324675325	1.9501625135428	2.37762237762238	4.29162357807653	3.14109165808445	3.78231292517007	2.12494008627576	3.57014582285755	4.42487497282018	0	0.670498084291188	1.40597539543058	1.69270833333333	1.72626387176326	1.26891166422645	2.36537493709109	1.37211855104281	3.52224576271186	1.40370578326783	0.565770862800566	4.21989934185056	12.8164377341355	5.59824368825466	5.41353383458647	4.64864864864865	0.539568345323741	1.03857566765579	1.9047619047619	3.49500713266762	1.620029455081	0	0	2.01643017176998	3.43839541547278	1.70454545454545	0.858895705521472	1.05501130369254	1.54462242562929	2.90748898678414	0.465983224603914	0.436953807740325	2.61527873365451
2020/12/27	3.56749387716281	3.77142857142857	0.963081861958267	1.71149144254279	1.64787510841284	0	3.6178107606679	1.9501625135428	2.23776223776224	4.23991726990693	3.29557157569516	3.86394557823129	2.17287106566544	3.68508009482077	4.53359425962166	0	0.670498084291188	2.02108963093146	1.69270833333333	1.97287299630086	1.07369448511469	2.51635631605435	1.20746432491767	3.57521186440678	1.40370578326783	0.636492220650636	4.56833139759969	12.8504938131456	5.65312843029638	5.48872180451128	4.54054054054054	0.359712230215827	1.03857566765579	2.16931216931217	3.67332382310984	1.39911634756996	0	0	2.09111277072442	4.44126074498567	1.68495297805643	0.858895705521472	1.05501130369254	1.48741418764302	2.90748898678414	0.279589934762349	0.436953807740325	2.54645560908465
2020/12/28	3.61108689276911	3.6	0.963081861958267	1.71149144254279	1.51777970511709	0	3.71057513914657	1.9501625135428	2.0979020979021	4.13650465356774	3.55303810504634	4.13605442176871	2.12494008627576	3.8143811507794	4.57708197434225	0	0.766283524904214	2.54833040421793	1.82291666666667	2.21948212083847	0.976085895558809	2.66733769501761	1.15257958287596	3.65466101694915	1.40370578326783	0.777934936350778	4.6070460704607	12.7710296287887	5.68971825832419	5.56390977443609	4.10810810810811	0.359712230215827	1.18694362017804	2.43386243386243	3.88730385164051	1.32547864506627	0	0	2.09111277072442	5.15759312320917	1.72413793103448	0.858895705521472	1.05501130369254	1.54462242562929	2.81938325991189	0.186393289841566	0.499375780274657	2.54645560908465
2020/12/29	3.6499243066729	3.42857142857143	0.963081861958267	1.71149144254279	1.38768430182134	0	3.80333951762523	1.89599133261105	1.95804195804196	3.98138572905894	3.60453141091658	4.43537414965986	2.09298610001598	3.95804899073342	4.59882583170254	0	0.862068965517241	3.1634446397188	1.69270833333333	2.34278668310728	0.878477306002928	2.81831907398088	1.18002195389682	3.73411016949153	1.40370578326783	0.919377652050919	4.56833139759969	12.6575093654217	5.72630808635199	5.93984962406015	3.67567567567568	0.359712230215827	1.3353115727003	2.6984126984127	4.02995720399429	1.32547864506627	0	0	2.09111277072442	5.87392550143267	1.76332288401254	0.858895705521472	1.05501130369254	1.48741418764302	2.81938325991189	9.31966449207828E-02	0.561797752808989	2.4776324845148
2020/12/30	3.67925051717169	3.21904761904762	0.963081861958267	1.71149144254279	1.25758889852559	0	3.8961038961039	1.89599133261105	1.88811188811189	3.72285418821096	3.50154479917611	4.62585034013605	2.07700910688608	4.07298326269665	4.59882583170254	0	0.957854406130268	3.33919156414763	1.5625	2.46609124537608	0.878477306002928	3.01962757926522	1.23490669593853	3.73411016949153	1.45985401459854	1.13154172560113	4.3360433604336	12.6234532864116	5.78119282839371	6.16541353383459	3.45945945945946	0.539568345323741	1.48367952522255	2.96296296296296	4.06562054208274	1.39911634756996	0	0	2.01643017176998	6.73352435530086	1.86128526645768	0.858895705521472	1.05501130369254	1.60183066361556	2.81938325991189	0	0.624219725343321	2.54645560908465
2020/12/31	3.73631773760175	3.1047619047619	0.963081861958267	1.71149144254279	1.17085862966175	0	3.8961038961039	1.89599133261105	1.81818181818182	3.56773526370217	3.45005149330587	4.8843537414966	2.06103211375619	4.18791753465987	4.76190476190476	0	1.0536398467433	3.42706502636204	1.30208333333333	2.58939580764488	0.976085895558809	3.32159033719175	1.28979143798024	3.73411016949153	1.62829870859068	1.41442715700141	4.14246999612853	12.6575093654217	5.81778265642151	6.31578947368421	3.35135135135135	0.719424460431655	1.63204747774481	2.96296296296296	4.17261055634807	1.47275405007364	0	0	1.94174757281553	7.59312320916905	1.88087774294671	0.858895705521472	1.05501130369254	1.83066361556064	2.73127753303965	0	0.686641697877653	2.68410185822436
